"","Regi√£o","C√≥gigo_UF","UF","0 dias nos √∫ltimos sete dias n","0 dias nos √∫ltimos sete dias %","1 dia nos ultimos sete dias n","1 dia nos ultimos sete dias %","2 dias nos √∫ltimos sete dias n","2 dias nos √∫ltimos sete dias %","3 dias nos √∫ltimos sete dias n","3 dias nos √∫ltimos sete dias %","4 dias nos √∫ltimos sete dias n","4 dias nos √∫ltimos sete dias %","5 dias nos √∫ltimos sete dias n","5 dias nos √∫ltimos sete dias %","6 dias nos √∫ltimos sete dias n","6 dias nos √∫ltimos sete dias %","Todos os √∫ltimos sete dias n","Todos os √∫ltimos sete dias %","Total de indiv√≠duos","ano","grupo"
"1","CENTRO-OESTE",53,"DF",29,"50%",11,"19%",11,"19%",2,"3%",1,"2%",0,NA,1,"2%",3,"5%",58,"2008","batata frita,batata de pacote,salgado frito"
"2","CENTRO-OESTE",52,"GO",57,"39%",28,"19%",22,"15%",19,"13%",5,"3%",4,"3%",2,"1%",8,"6%",145,"2008","batata frita,batata de pacote,salgado frito"
"3","CENTRO-OESTE",50,"MS",136,"48%",63,"22%",37,"13%",11,"4%",5,"2%",11,"4%",3,"1%",20,"7%",286,"2008","batata frita,batata de pacote,salgado frito"
"4","CENTRO-OESTE",51,"MT",252,"45%",119,"21%",69,"12%",42,"7%",22,"4%",12,"2%",11,"2%",34,"6%",561,"2008","batata frita,batata de pacote,salgado frito"
"5","TOTAL REGI√O CENTRO-OESTE",NA,"",474,"45%",221,"21%",139,"13%",74,"7%",33,"3%",27,"3%",17,"2%",65,"6%",1050,"2008","batata frita,batata de pacote,salgado frito"
"6","NORDESTE",27,"AL",82,"63%",15,"12%",8,"6%",5,"4%",4,"3%",3,"2%",3,"2%",10,"8%",130,"2008","batata frita,batata de pacote,salgado frito"
"7","NORDESTE",29,"BA",345,"59%",123,"21%",57,"10%",29,"5%",9,"2%",5,"1%",4,"1%",13,"2%",585,"2008","batata frita,batata de pacote,salgado frito"
"8","NORDESTE",23,"CE",74,"84%",7,"8%",1,"1%",1,"1%",0,NA,0,NA,0,NA,5,"6%",88,"2008","batata frita,batata de pacote,salgado frito"
"9","NORDESTE",21,"MA",44,"75%",6,"10%",8,"14%",0,NA,1,"2%",0,NA,0,NA,0,NA,59,"2008","batata frita,batata de pacote,salgado frito"
"10","NORDESTE",25,"PB",235,"56%",79,"19%",51,"12%",18,"4%",16,"4%",3,"1%",3,"1%",14,"3%",419,"2008","batata frita,batata de pacote,salgado frito"
"11","NORDESTE",26,"PE",19,"44%",12,"28%",2,"5%",5,"12%",1,"2%",0,NA,2,"5%",2,"5%",43,"2008","batata frita,batata de pacote,salgado frito"
"12","NORDESTE",22,"PI",93,"65%",23,"16%",13,"9%",6,"4%",4,"3%",0,NA,2,"1%",3,"2%",144,"2008","batata frita,batata de pacote,salgado frito"
"13","NORDESTE",24,"RN",83,"59%",25,"18%",12,"9%",7,"5%",1,"1%",5,"4%",1,"1%",6,"4%",140,"2008","batata frita,batata de pacote,salgado frito"
"14","NORDESTE",28,"SE",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","batata frita,batata de pacote,salgado frito"
"15","TOTAL REGI√O NORDESTE",NA,"",975,"61%",290,"18%",152,"9%",71,"4%",36,"2%",16,"1%",15,"1%",53,"3%",1608,"2008","batata frita,batata de pacote,salgado frito"
"16","NORTE",12,"AC",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","batata frita,batata de pacote,salgado frito"
"17","NORTE",13,"AM",175,"45%",79,"20%",52,"13%",24,"6%",11,"3%",14,"4%",8,"2%",28,"7%",391,"2008","batata frita,batata de pacote,salgado frito"
"18","NORTE",16,"AP",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","batata frita,batata de pacote,salgado frito"
"19","NORTE",15,"PA",807,"64%",174,"14%",97,"8%",68,"5%",29,"2%",14,"1%",16,"1%",61,"5%",1266,"2008","batata frita,batata de pacote,salgado frito"
"20","NORTE",11,"RO",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","batata frita,batata de pacote,salgado frito"
"21","NORTE",14,"RR",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","batata frita,batata de pacote,salgado frito"
"22","NORTE",17,"TO",6,"38%",4,"25%",2,"13%",3,"19%",0,NA,0,NA,0,NA,1,"6%",16,"2008","batata frita,batata de pacote,salgado frito"
"23","TOTAL REGI√O NORTE",NA,"",988,"59%",257,"15%",151,"9%",95,"6%",40,"2%",28,"2%",24,"1%",90,"5%",1673,"2008","batata frita,batata de pacote,salgado frito"
"24","SUDESTE",32,"ES",14,"52%",3,"11%",4,"15%",4,"15%",1,"4%",0,NA,1,"4%",0,NA,27,"2008","batata frita,batata de pacote,salgado frito"
"25","SUDESTE",31,"MG",283,"36%",183,"23%",104,"13%",70,"9%",34,"4%",43,"5%",26,"3%",44,"6%",787,"2008","batata frita,batata de pacote,salgado frito"
"26","SUDESTE",33,"RJ",3,"20%",5,"33%",1,"7%",2,"13%",2,"13%",0,NA,0,NA,2,"13%",15,"2008","batata frita,batata de pacote,salgado frito"
"27","SUDESTE",35,"SP",141,"40%",95,"27%",52,"15%",27,"8%",5,"1%",3,"1%",4,"1%",27,"8%",354,"2008","batata frita,batata de pacote,salgado frito"
"28","TOTAL REGI√O SUDESTE",NA,"",441,"37%",286,"24%",161,"14%",103,"9%",42,"4%",46,"4%",31,"3%",73,"6%",1183,"2008","batata frita,batata de pacote,salgado frito"
"29","SUL",41,"PR",108,"43%",61,"24%",42,"17%",15,"6%",6,"2%",5,"2%",2,"1%",15,"6%",254,"2008","batata frita,batata de pacote,salgado frito"
"30","SUL",43,"RS",71,"34%",64,"31%",23,"11%",18,"9%",7,"3%",6,"3%",2,"1%",16,"8%",207,"2008","batata frita,batata de pacote,salgado frito"
"31","SUL",42,"SC",283,"24%",160,"14%",131,"11%",132,"11%",181,"16%",147,"13%",103,"9%",29,"2%",1166,"2008","batata frita,batata de pacote,salgado frito"
"32","TOTAL REGI√O SUL",NA,"",462,"28%",285,"18%",196,"12%",165,"10%",194,"12%",158,"10%",107,"7%",60,"4%",1627,"2008","batata frita,batata de pacote,salgado frito"
"33","TOTAL BRASIL",NA,"",3340,"47%",1339,"19%",799,"11%",508,"7%",345,"5%",275,"4%",194,"3%",341,"5%",7141,"2008","batata frita,batata de pacote,salgado frito"
"34","CENTRO-OESTE",53,"DF",10,"17%",17,"29%",5,"9%",8,"14%",3,"5%",2,"3%",0,NA,13,"22%",58,"2008","biscoito doce, doces, balas, chocolates"
"35","CENTRO-OESTE",52,"GO",42,"29%",20,"14%",26,"18%",21,"14%",5,"3%",4,"3%",3,"2%",24,"17%",145,"2008","biscoito doce, doces, balas, chocolates"
"36","CENTRO-OESTE",50,"MS",90,"31%",68,"24%",41,"14%",14,"5%",11,"4%",6,"2%",4,"1%",52,"18%",286,"2008","biscoito doce, doces, balas, chocolates"
"37","CENTRO-OESTE",51,"MT",210,"37%",93,"17%",64,"11%",54,"10%",34,"6%",10,"2%",24,"4%",72,"13%",561,"2008","biscoito doce, doces, balas, chocolates"
"38","TOTAL REGI√O CENTRO-OESTE",NA,"",352,"34%",198,"19%",136,"13%",97,"9%",53,"5%",22,"2%",31,"3%",161,"15%",1050,"2008","biscoito doce, doces, balas, chocolates"
"39","NORDESTE",27,"AL",52,"40%",23,"18%",15,"12%",8,"6%",7,"5%",4,"3%",2,"2%",19,"15%",130,"2008","biscoito doce, doces, balas, chocolates"
"40","NORDESTE",29,"BA",262,"45%",115,"20%",66,"11%",43,"7%",24,"4%",16,"3%",15,"3%",44,"8%",585,"2008","biscoito doce, doces, balas, chocolates"
"41","NORDESTE",23,"CE",29,"33%",8,"9%",11,"13%",14,"16%",5,"6%",8,"9%",1,"1%",12,"14%",88,"2008","biscoito doce, doces, balas, chocolates"
"42","NORDESTE",21,"MA",23,"39%",9,"15%",7,"12%",12,"20%",4,"7%",0,NA,1,"2%",3,"5%",59,"2008","biscoito doce, doces, balas, chocolates"
"43","NORDESTE",25,"PB",132,"32%",62,"15%",49,"12%",40,"10%",29,"7%",12,"3%",7,"2%",88,"21%",419,"2008","biscoito doce, doces, balas, chocolates"
"44","NORDESTE",26,"PE",11,"26%",2,"5%",8,"19%",6,"14%",5,"12%",2,"5%",3,"7%",6,"14%",43,"2008","biscoito doce, doces, balas, chocolates"
"45","NORDESTE",22,"PI",57,"40%",26,"18%",33,"23%",11,"8%",5,"3%",1,"1%",1,"1%",10,"7%",144,"2008","biscoito doce, doces, balas, chocolates"
"46","NORDESTE",24,"RN",32,"23%",22,"16%",28,"20%",10,"7%",7,"5%",9,"6%",4,"3%",28,"20%",140,"2008","biscoito doce, doces, balas, chocolates"
"47","NORDESTE",28,"SE",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","biscoito doce, doces, balas, chocolates"
"48","TOTAL REGI√O NORDESTE",NA,"",598,"37%",267,"17%",217,"13%",144,"9%",86,"5%",52,"3%",34,"2%",210,"13%",1608,"2008","biscoito doce, doces, balas, chocolates"
"49","NORTE",12,"AC",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","biscoito doce, doces, balas, chocolates"
"50","NORTE",13,"AM",146,"37%",80,"20%",50,"13%",35,"9%",26,"7%",11,"3%",10,"3%",33,"8%",391,"2008","biscoito doce, doces, balas, chocolates"
"51","NORTE",16,"AP",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","biscoito doce, doces, balas, chocolates"
"52","NORTE",15,"PA",665,"53%",166,"13%",145,"11%",83,"7%",42,"3%",29,"2%",20,"2%",116,"9%",1266,"2008","biscoito doce, doces, balas, chocolates"
"53","NORTE",11,"RO",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","biscoito doce, doces, balas, chocolates"
"54","NORTE",14,"RR",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","biscoito doce, doces, balas, chocolates"
"55","NORTE",17,"TO",8,"50%",1,"6%",1,"6%",1,"6%",2,"13%",2,"13%",0,NA,1,"6%",16,"2008","biscoito doce, doces, balas, chocolates"
"56","TOTAL REGI√O NORTE",NA,"",819,"49%",247,"15%",196,"12%",119,"7%",70,"4%",42,"3%",30,"2%",150,"9%",1673,"2008","biscoito doce, doces, balas, chocolates"
"57","SUDESTE",32,"ES",10,"37%",6,"22%",3,"11%",1,"4%",2,"7%",0,NA,1,"4%",4,"15%",27,"2008","biscoito doce, doces, balas, chocolates"
"58","SUDESTE",31,"MG",229,"29%",124,"16%",110,"14%",75,"10%",40,"5%",28,"4%",40,"5%",141,"18%",787,"2008","biscoito doce, doces, balas, chocolates"
"59","SUDESTE",33,"RJ",5,"33%",2,"13%",1,"7%",4,"27%",0,NA,2,"13%",0,NA,1,"7%",15,"2008","biscoito doce, doces, balas, chocolates"
"60","SUDESTE",35,"SP",132,"37%",74,"21%",35,"10%",32,"9%",10,"3%",5,"1%",10,"3%",56,"16%",354,"2008","biscoito doce, doces, balas, chocolates"
"61","TOTAL REGI√O SUDESTE",NA,"",376,"32%",206,"17%",149,"13%",112,"9%",52,"4%",35,"3%",51,"4%",202,"17%",1183,"2008","biscoito doce, doces, balas, chocolates"
"62","SUL",41,"PR",83,"33%",53,"21%",32,"13%",15,"6%",14,"6%",9,"4%",9,"4%",39,"15%",254,"2008","biscoito doce, doces, balas, chocolates"
"63","SUL",43,"RS",60,"29%",37,"18%",33,"16%",24,"12%",6,"3%",5,"2%",2,"1%",40,"19%",207,"2008","biscoito doce, doces, balas, chocolates"
"64","SUL",42,"SC",285,"24%",190,"16%",215,"18%",205,"18%",126,"11%",56,"5%",59,"5%",30,"3%",1166,"2008","biscoito doce, doces, balas, chocolates"
"65","TOTAL REGI√O SUL",NA,"",428,"26%",280,"17%",280,"17%",244,"15%",146,"9%",70,"4%",70,"4%",109,"7%",1627,"2008","biscoito doce, doces, balas, chocolates"
"66","TOTAL BRASIL",NA,"",2573,"36%",1198,"17%",978,"14%",716,"10%",407,"6%",221,"3%",216,"3%",832,"12%",7141,"2008","biscoito doce, doces, balas, chocolates"
"67","CENTRO-OESTE",53,"DF",13,"22%",8,"14%",10,"17%",5,"9%",4,"7%",2,"3%",1,"2%",15,"26%",58,"2008","biscoito salgado, salgadindo de pacote"
"68","CENTRO-OESTE",52,"GO",48,"33%",14,"10%",27,"19%",13,"9%",15,"10%",1,"1%",6,"4%",21,"14%",145,"2008","biscoito salgado, salgadindo de pacote"
"69","CENTRO-OESTE",50,"MS",80,"28%",46,"16%",46,"16%",26,"9%",19,"7%",7,"2%",4,"1%",58,"20%",286,"2008","biscoito salgado, salgadindo de pacote"
"70","CENTRO-OESTE",51,"MT",164,"29%",95,"17%",74,"13%",56,"10%",26,"5%",16,"3%",18,"3%",112,"20%",561,"2008","biscoito salgado, salgadindo de pacote"
"71","TOTAL REGI√O CENTRO-OESTE",NA,"",305,"29%",163,"16%",157,"15%",100,"10%",64,"6%",26,"2%",29,"3%",206,"20%",1050,"2008","biscoito salgado, salgadindo de pacote"
"72","NORDESTE",27,"AL",31,"24%",14,"11%",13,"10%",11,"8%",10,"8%",6,"5%",11,"8%",34,"26%",130,"2008","biscoito salgado, salgadindo de pacote"
"73","NORDESTE",29,"BA",137,"23%",96,"16%",88,"15%",74,"13%",28,"5%",18,"3%",34,"6%",110,"19%",585,"2008","biscoito salgado, salgadindo de pacote"
"74","NORDESTE",23,"CE",17,"19%",6,"7%",9,"10%",12,"14%",6,"7%",10,"11%",4,"5%",24,"27%",88,"2008","biscoito salgado, salgadindo de pacote"
"75","NORDESTE",21,"MA",8,"14%",6,"10%",15,"25%",9,"15%",5,"8%",2,"3%",7,"12%",7,"12%",59,"2008","biscoito salgado, salgadindo de pacote"
"76","NORDESTE",25,"PB",65,"16%",36,"9%",38,"9%",44,"11%",22,"5%",27,"6%",16,"4%",171,"41%",419,"2008","biscoito salgado, salgadindo de pacote"
"77","NORDESTE",26,"PE",3,"7%",7,"16%",6,"14%",6,"14%",2,"5%",2,"5%",3,"7%",14,"33%",43,"2008","biscoito salgado, salgadindo de pacote"
"78","NORDESTE",22,"PI",39,"27%",19,"13%",31,"22%",17,"12%",3,"2%",5,"3%",4,"3%",26,"18%",144,"2008","biscoito salgado, salgadindo de pacote"
"79","NORDESTE",24,"RN",25,"18%",20,"14%",15,"11%",10,"7%",11,"8%",14,"10%",5,"4%",40,"29%",140,"2008","biscoito salgado, salgadindo de pacote"
"80","NORDESTE",28,"SE",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","biscoito salgado, salgadindo de pacote"
"81","TOTAL REGI√O NORDESTE",NA,"",325,"20%",204,"13%",215,"13%",183,"11%",87,"5%",84,"5%",84,"5%",426,"26%",1608,"2008","biscoito salgado, salgadindo de pacote"
"82","NORTE",12,"AC",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","biscoito salgado, salgadindo de pacote"
"83","NORTE",13,"AM",81,"21%",65,"17%",90,"23%",42,"11%",27,"7%",10,"3%",12,"3%",64,"16%",391,"2008","biscoito salgado, salgadindo de pacote"
"84","NORTE",16,"AP",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","biscoito salgado, salgadindo de pacote"
"85","NORTE",15,"PA",417,"33%",142,"11%",161,"13%",148,"12%",69,"5%",39,"3%",22,"2%",268,"21%",1266,"2008","biscoito salgado, salgadindo de pacote"
"86","NORTE",11,"RO",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","biscoito salgado, salgadindo de pacote"
"87","NORTE",14,"RR",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","biscoito salgado, salgadindo de pacote"
"88","NORTE",17,"TO",6,"38%",2,"13%",0,NA,1,"6%",0,NA,1,"6%",2,"13%",4,"25%",16,"2008","biscoito salgado, salgadindo de pacote"
"89","TOTAL REGI√O NORTE",NA,"",504,"30%",209,"12%",251,"15%",191,"11%",96,"6%",50,"3%",36,"2%",336,"20%",1673,"2008","biscoito salgado, salgadindo de pacote"
"90","SUDESTE",32,"ES",9,"33%",4,"15%",3,"11%",1,"4%",1,"4%",1,"4%",1,"4%",7,"26%",27,"2008","biscoito salgado, salgadindo de pacote"
"91","SUDESTE",31,"MG",244,"31%",123,"16%",103,"13%",72,"9%",27,"3%",42,"5%",27,"3%",149,"19%",787,"2008","biscoito salgado, salgadindo de pacote"
"92","SUDESTE",33,"RJ",4,"27%",4,"27%",0,NA,0,NA,1,"7%",0,NA,0,NA,6,"40%",15,"2008","biscoito salgado, salgadindo de pacote"
"93","SUDESTE",35,"SP",94,"27%",63,"18%",47,"13%",31,"9%",7,"2%",9,"3%",17,"5%",86,"24%",354,"2008","biscoito salgado, salgadindo de pacote"
"94","TOTAL REGI√O SUDESTE",NA,"",351,"30%",194,"16%",153,"13%",104,"9%",36,"3%",52,"4%",45,"4%",248,"21%",1183,"2008","biscoito salgado, salgadindo de pacote"
"95","SUL",41,"PR",96,"38%",39,"15%",32,"13%",18,"7%",12,"5%",5,"2%",9,"4%",43,"17%",254,"2008","biscoito salgado, salgadindo de pacote"
"96","SUL",43,"RS",45,"22%",45,"22%",33,"16%",25,"12%",8,"4%",6,"3%",2,"1%",43,"21%",207,"2008","biscoito salgado, salgadindo de pacote"
"97","SUL",42,"SC",261,"22%",162,"14%",190,"16%",205,"18%",158,"14%",74,"6%",68,"6%",48,"4%",1166,"2008","biscoito salgado, salgadindo de pacote"
"98","TOTAL REGI√O SUL",NA,"",402,"25%",246,"15%",255,"16%",248,"15%",178,"11%",85,"5%",79,"5%",134,"8%",1627,"2008","biscoito salgado, salgadindo de pacote"
"99","TOTAL BRASIL",NA,"",1887,"26%",1016,"14%",1031,"14%",826,"12%",461,"6%",297,"4%",273,"4%",1350,"19%",7141,"2008","biscoito salgado, salgadindo de pacote"
"100","CENTRO-OESTE",53,"DF",4,"7%",3,"5%",3,"5%",2,"3%",5,"9%",2,"3%",2,"3%",37,"64%",58,"2008","feij√£o"
"101","CENTRO-OESTE",52,"GO",5,"3%",2,"1%",4,"3%",7,"5%",4,"3%",7,"5%",5,"3%",111,"77%",145,"2008","feij√£o"
"102","CENTRO-OESTE",50,"MS",22,"8%",6,"2%",7,"2%",11,"4%",14,"5%",7,"2%",7,"2%",212,"74%",286,"2008","feij√£o"
"103","CENTRO-OESTE",51,"MT",27,"5%",18,"3%",14,"2%",30,"5%",14,"2%",11,"2%",8,"1%",439,"78%",561,"2008","feij√£o"
"104","TOTAL REGI√O CENTRO-OESTE",NA,"",58,"6%",29,"3%",28,"3%",50,"5%",37,"4%",27,"3%",22,"2%",799,"76%",1050,"2008","feij√£o"
"105","NORDESTE",27,"AL",5,"4%",0,NA,3,"2%",6,"5%",3,"2%",3,"2%",1,"1%",109,"84%",130,"2008","feij√£o"
"106","NORDESTE",29,"BA",13,"2%",10,"2%",12,"2%",16,"3%",9,"2%",13,"2%",20,"3%",492,"84%",585,"2008","feij√£o"
"107","NORDESTE",23,"CE",5,"6%",2,"2%",2,"2%",2,"2%",2,"2%",1,"1%",2,"2%",72,"82%",88,"2008","feij√£o"
"108","NORDESTE",21,"MA",5,"8%",3,"5%",7,"12%",4,"7%",2,"3%",3,"5%",5,"8%",30,"51%",59,"2008","feij√£o"
"109","NORDESTE",25,"PB",16,"4%",13,"3%",21,"5%",15,"4%",7,"2%",6,"1%",7,"2%",334,"80%",419,"2008","feij√£o"
"110","NORDESTE",26,"PE",0,NA,0,NA,7,"16%",2,"5%",3,"7%",3,"7%",1,"2%",27,"63%",43,"2008","feij√£o"
"111","NORDESTE",22,"PI",6,"4%",3,"2%",6,"4%",3,"2%",2,"1%",2,"1%",11,"8%",111,"77%",144,"2008","feij√£o"
"112","NORDESTE",24,"RN",0,NA,2,"1%",0,NA,2,"1%",1,"1%",0,NA,6,"4%",129,"92%",140,"2008","feij√£o"
"113","NORDESTE",28,"SE",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","feij√£o"
"114","TOTAL REGI√O NORDESTE",NA,"",50,"3%",33,"2%",58,"4%",50,"3%",29,"2%",31,"2%",53,"3%",1304,"81%",1608,"2008","feij√£o"
"115","NORTE",12,"AC",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","feij√£o"
"116","NORTE",13,"AM",71,"18%",67,"17%",81,"21%",72,"18%",19,"5%",12,"3%",7,"2%",62,"16%",391,"2008","feij√£o"
"117","NORTE",16,"AP",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","feij√£o"
"118","NORTE",15,"PA",160,"13%",141,"11%",137,"11%",118,"9%",49,"4%",24,"2%",36,"3%",601,"47%",1266,"2008","feij√£o"
"119","NORTE",11,"RO",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","feij√£o"
"120","NORTE",14,"RR",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","feij√£o"
"121","NORTE",17,"TO",1,"6%",0,NA,1,"6%",2,"13%",1,"6%",0,NA,0,NA,11,"69%",16,"2008","feij√£o"
"122","TOTAL REGI√O NORTE",NA,"",232,"14%",208,"12%",219,"13%",192,"11%",69,"4%",36,"2%",43,"3%",674,"40%",1673,"2008","feij√£o"
"123","SUDESTE",32,"ES",1,"4%",1,"4%",0,NA,0,NA,0,NA,0,NA,0,NA,25,"93%",27,"2008","feij√£o"
"124","SUDESTE",31,"MG",57,"7%",17,"2%",22,"3%",14,"2%",17,"2%",28,"4%",24,"3%",608,"77%",787,"2008","feij√£o"
"125","SUDESTE",33,"RJ",0,NA,0,NA,0,NA,2,"13%",2,"13%",0,NA,0,NA,11,"73%",15,"2008","feij√£o"
"126","SUDESTE",35,"SP",35,"10%",4,"1%",11,"3%",7,"2%",7,"2%",8,"2%",6,"2%",276,"78%",354,"2008","feij√£o"
"127","TOTAL REGI√O SUDESTE",NA,"",93,"8%",22,"2%",33,"3%",23,"2%",26,"2%",36,"3%",30,"3%",920,"78%",1183,"2008","feij√£o"
"128","SUL",41,"PR",25,"10%",10,"4%",23,"9%",12,"5%",12,"5%",8,"3%",13,"5%",151,"59%",254,"2008","feij√£o"
"129","SUL",43,"RS",30,"14%",18,"9%",11,"5%",7,"3%",8,"4%",7,"3%",7,"3%",119,"57%",207,"2008","feij√£o"
"130","SUL",42,"SC",26,"2%",61,"5%",165,"14%",71,"6%",80,"7%",140,"12%",109,"9%",514,"44%",1166,"2008","feij√£o"
"131","TOTAL REGI√O SUL",NA,"",81,"5%",89,"5%",199,"12%",90,"6%",100,"6%",155,"10%",129,"8%",784,"48%",1627,"2008","feij√£o"
"132","TOTAL BRASIL",NA,"",514,"7%",381,"5%",537,"8%",405,"6%",261,"4%",285,"4%",277,"4%",4481,"63%",7141,"2008","feij√£o"
"133","CENTRO-OESTE",53,"DF",4,"7%",2,"3%",4,"7%",4,"7%",3,"5%",1,"2%",1,"2%",39,"67%",58,"2008","frutas frescas"
"134","CENTRO-OESTE",52,"GO",15,"10%",17,"12%",22,"15%",20,"14%",10,"7%",12,"8%",7,"5%",42,"29%",145,"2008","frutas frescas"
"135","CENTRO-OESTE",50,"MS",40,"14%",31,"11%",47,"16%",28,"10%",25,"9%",18,"6%",7,"2%",90,"31%",286,"2008","frutas frescas"
"136","CENTRO-OESTE",51,"MT",64,"11%",68,"12%",76,"14%",57,"10%",27,"5%",25,"4%",27,"5%",217,"39%",561,"2008","frutas frescas"
"137","TOTAL REGI√O CENTRO-OESTE",NA,"",123,"12%",118,"11%",149,"14%",109,"10%",65,"6%",56,"5%",42,"4%",388,"37%",1050,"2008","frutas frescas"
"138","NORDESTE",27,"AL",18,"14%",5,"4%",15,"12%",19,"15%",8,"6%",3,"2%",4,"3%",58,"45%",130,"2008","frutas frescas"
"139","NORDESTE",29,"BA",62,"11%",58,"10%",80,"14%",85,"15%",37,"6%",30,"5%",34,"6%",199,"34%",585,"2008","frutas frescas"
"140","NORDESTE",23,"CE",28,"32%",4,"5%",20,"23%",10,"11%",2,"2%",5,"6%",3,"3%",16,"18%",88,"2008","frutas frescas"
"141","NORDESTE",21,"MA",9,"15%",7,"12%",10,"17%",5,"8%",6,"10%",7,"12%",5,"8%",10,"17%",59,"2008","frutas frescas"
"142","NORDESTE",25,"PB",55,"13%",32,"8%",50,"12%",64,"15%",22,"5%",31,"7%",17,"4%",148,"35%",419,"2008","frutas frescas"
"143","NORDESTE",26,"PE",4,"9%",5,"12%",6,"14%",6,"14%",5,"12%",1,"2%",3,"7%",13,"30%",43,"2008","frutas frescas"
"144","NORDESTE",22,"PI",31,"22%",20,"14%",23,"16%",22,"15%",5,"3%",5,"3%",2,"1%",36,"25%",144,"2008","frutas frescas"
"145","NORDESTE",24,"RN",12,"9%",10,"7%",6,"4%",10,"7%",7,"5%",6,"4%",18,"13%",71,"51%",140,"2008","frutas frescas"
"146","NORDESTE",28,"SE",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","frutas frescas"
"147","TOTAL REGI√O NORDESTE",NA,"",219,"14%",141,"9%",210,"13%",221,"14%",92,"6%",88,"5%",86,"5%",551,"34%",1608,"2008","frutas frescas"
"148","NORTE",12,"AC",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","frutas frescas"
"149","NORTE",13,"AM",59,"15%",37,"9%",61,"16%",65,"17%",24,"6%",21,"5%",12,"3%",112,"29%",391,"2008","frutas frescas"
"150","NORTE",16,"AP",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","frutas frescas"
"151","NORTE",15,"PA",174,"14%",188,"15%",205,"16%",157,"12%",88,"7%",60,"5%",41,"3%",352,"28%",1265,"2008","frutas frescas"
"152","NORTE",11,"RO",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","frutas frescas"
"153","NORTE",14,"RR",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,"2008","frutas frescas"
"154","NORTE",17,"TO",1,"6%",0,NA,2,"13%",4,"25%",5,"31%",1,"6%",0,NA,3,"19%",16,"2008","frutas frescas"
"155","TOTAL REGI√O NORTE",NA,"",234,"14%",225,"13%",268,"16%",226,"14%",117,"7%",82,"5%",53,"3%",467,"28%",1672,"2008","frutas frescas"
"156","SUDESTE",32,"ES",6,"22%",4,"15%",5,"19%",5,"19%",2,"7%",0,NA,0,NA,5,"19%",27,"2008","frutas frescas"
"157","SUDESTE",31,"MG",121,"15%",85,"11%",99,"13%",91,"12%",61,"8%",44,"6%",34,"4%",251,"32%",786,"2008","frutas frescas"
"158","SUDESTE",33,"RJ",0,NA,1,"7%",1,"7%",5,"33%",0,NA,0,NA,2,"13%",6,"40%",15,"2008","frutas frescas"
"159","SUDESTE",35,"SP",65,"18%",50,"14%",42,"12%",40,"11%",21,"6%",6,"2%",10,"3%",120,"34%",354,"2008","frutas frescas"
"160","TOTAL REGI√O SUDESTE",NA,"",192,"16%",140,"12%",147,"12%",141,"12%",84,"7%",50,"4%",46,"4%",382,"32%",1182,"2008","frutas frescas"
"161","SUL",41,"PR",30,"12%",24,"9%",28,"11%",26,"10%",13,"5%",16,"6%",9,"4%",108,"43%",254,"2008","frutas frescas"
